album_id,album_name,artist_id,release_date
1,Album 1,12,2022-04-11
2,Album 2,16,2003-12-06
3,Album 3,99,2009-02-12
4,Album 4,53,2018-02-26
5,Album 5,75,2005-07-24
6,Album 6,4,2015-02-07
7,Album 7,36,2003-01-28
8,Album 8,35,2013-08-20
9,Album 9,34,2014-10-09
10,Album 10,20,2023-12-01
11,Album 11,41,2006-03-16
12,Album 12,28,2014-01-17
13,Album 13,41,2021-04-18
14,Album 14,87,2020-02-08
15,Album 15,42,2008-01-12
16,Album 16,18,2020-10-13
17,Album 17,82,2021-09-20
18,Album 18,27,2021-03-17
19,Album 19,41,2000-09-19
20,Album 20,79,2023-09-13
21,Album 21,48,2005-02-04
22,Album 22,13,2006-11-04
23,Album 23,90,2009-05-09
24,Album 24,18,2002-03-14
25,Album 25,71,2004-07-02
26,Album 26,7,2002-12-16
27,Album 27,31,2006-02-25
28,Album 28,1,2017-10-15
29,Album 29,52,2015-09-21
30,Album 30,80,2009-10-02
31,Album 31,52,2014-08-01
32,Album 32,33,2021-09-27
33,Album 33,11,2018-04-10
34,Album 34,43,2011-03-26
35,Album 35,27,2006-07-19
36,Album 36,58,2019-08-21
37,Album 37,23,2016-10-13
38,Album 38,46,2017-03-17
39,Album 39,39,2000-10-25
40,Album 40,38,2019-05-07
41,Album 41,6,2017-04-18
42,Album 42,72,2000-11-24
43,Album 43,60,2020-09-25
44,Album 44,92,2023-07-04
45,Album 45,74,2002-09-05
46,Album 46,50,2009-01-12
47,Album 47,63,2003-10-15
48,Album 48,57,2015-03-04
49,Album 49,11,2000-06-09
50,Album 50,64,2017-08-08
51,Album 51,62,2010-01-26
52,Album 52,47,2011-02-18
53,Album 53,71,2017-01-24
54,Album 54,87,2020-03-15
55,Album 55,16,2019-01-05
56,Album 56,30,2016-01-25
57,Album 57,67,2019-11-15
58,Album 58,87,2008-09-06
59,Album 59,89,2018-05-07
60,Album 60,48,2001-03-05
61,Album 61,47,2013-11-01
62,Album 62,89,2001-09-15
63,Album 63,58,2017-01-05
64,Album 64,85,2015-03-16
65,Album 65,70,2014-09-24
66,Album 66,33,2016-09-17
67,Album 67,71,2007-11-18
68,Album 68,59,2016-04-10
69,Album 69,40,2013-12-09
70,Album 70,88,2019-02-02
71,Album 71,38,2015-09-03
72,Album 72,48,2003-12-22
73,Album 73,92,2015-05-08
74,Album 74,2,2018-01-22
75,Album 75,78,2000-10-26
76,Album 76,45,2000-02-19
77,Album 77,6,2016-09-28
78,Album 78,31,2023-02-02
79,Album 79,61,2007-05-24
80,Album 80,71,2019-01-08
81,Album 81,77,2001-09-10
82,Album 82,73,2005-03-23
83,Album 83,31,2014-06-07
84,Album 84,58,2001-04-10
85,Album 85,29,2013-08-10
86,Album 86,68,2001-12-03
87,Album 87,18,2020-08-23
88,Album 88,56,2000-05-20
89,Album 89,97,2000-06-09
90,Album 90,19,2004-08-26
91,Album 91,72,2012-09-14
92,Album 92,18,2011-04-12
93,Album 93,1,2022-01-05
94,Album 94,97,2008-12-18
95,Album 95,62,2018-06-09
96,Album 96,76,2013-05-23
97,Album 97,38,2016-12-17
98,Album 98,46,2021-06-20
99,Album 99,86,2018-04-03
100,Album 100,6,2009-03-08
101,Album 101,66,2016-12-22
102,Album 102,67,2002-02-02
103,Album 103,58,2006-10-10
104,Album 104,94,2008-05-06
105,Album 105,84,2001-06-04
106,Album 106,84,2005-04-04
107,Album 107,90,2013-06-01
108,Album 108,72,2009-06-17
109,Album 109,33,2020-11-02
110,Album 110,88,2005-08-05
111,Album 111,14,2016-02-10
112,Album 112,82,2016-09-24
113,Album 113,88,2012-09-28
114,Album 114,54,2001-08-24
115,Album 115,45,2011-04-05
116,Album 116,84,2002-05-23
117,Album 117,20,2023-09-22
118,Album 118,88,2009-04-10
119,Album 119,49,2022-07-01
120,Album 120,23,2016-04-19
121,Album 121,67,2022-09-12
122,Album 122,86,2005-10-10
123,Album 123,30,2007-09-22
124,Album 124,49,2021-03-27
125,Album 125,81,2023-08-12
126,Album 126,56,2008-04-21
127,Album 127,15,2005-04-04
128,Album 128,80,2003-04-19
129,Album 129,93,2001-04-13
130,Album 130,2,2022-08-08
131,Album 131,39,2017-06-04
132,Album 132,3,2018-07-24
133,Album 133,75,2001-01-27
